"sample","calcite_thickness_mm","aragonite_thickness_mm","storage_condition","shell_height","aperture_width","aperture_height","country","location","year","PC1","PC2","PC3","PC4","PC5","aperture_ellipses"
"1_1",0.402361733333333,0.0790989,"dry",22.46,9.5,14.79,"Belgium","BLA",1888,-0.0435223427774881,0.00298419015904981,-0.0224944681381215,-0.0120289564073036,0.0123249313305148,110.352368948158
"1_2",0.555582,0.0655051,"dry",26.58,9.66,15.83,"Belgium","BLA",1888,0.0291401839447741,-0.00247500728185906,-0.00808891400004745,-0.00456258886194699,-0.00270904712439034,120.101359270778
"1_3",0.4950471,0.0557397666666667,"dry",23.54,8.41,14.63,"Belgium","BLA",1888,0.0202059406787836,0.015398738048898,-0.0281643212233164,-0.0110970676990332,0.0024101495345655,96.6340548475443
"1_4",0.394110933333333,0.0457092333333333,"dry",26.47,9.15,15.61,"Belgium","BLA",1888,0.0291073068696744,0.0236007116873288,-0.00505426936981588,0.00260884720508823,0.00887323423436089,112.179597775303
"1_5",0.858218633333333,0.1512544,"dry",25.78,10.9,14.85,"Belgium","BLA",1888,-0.067575599783601,-0.0262809726427082,0.00577636543812528,0.0122976200376475,-0.0182516817376474,127.128473718328
"1_6",0.437596433333333,0.0529792666666667,"dry",25.56,9.71,15.66,"Belgium","BLA",1888,-0.0159759189536019,0.0060683487827636,-0.0214045207804975,-0.0118374053787287,0.014949636630509,119.426545168787
"10_1",1.05737813333333,0.1439032,"ethanol",29.33,11.86,15.43,"Belgium","KNO",1932,0.010556148340014,-0.0137026162029481,-0.00134415105915459,0.0218648396574916,-0.00543218170394955,143.7277068221
"10_2",0.7514908,0.1007208,"ethanol",29.36,11.5,16.56,"Belgium","KNO",1932,0.0204080467989098,-0.0232759042501692,0.00228350111410645,0.00699485832985548,0.01089333956547,149.57122623741
"10_3",0.860598766666667,0.0728522666666667,"ethanol",26.71,11.01,15.1,"Belgium","KNO",1932,0.012307793243913,-0.011828300001403,0.0111562929493596,0.00388208249350085,0.0104656748394984,130.573230062989
"10_4",0.523742566666667,0.129756333333333,"ethanol",22.32,7.78,13.5,"Belgium","KNO",1932,0.0338487069410433,0.0593264234923341,-0.0103090307596983,0.00600061335467113,0.014508637633867,82.490369101634
"10_5",1.14315303333333,0.0562330333333333,"ethanol",31.84,12.43,18.93,"Belgium","KNO",1932,-0.00235670460134813,-0.00901114995599113,0.0289429386087007,0.00737694880149884,-0.00750056514141637,184.804109307603
"10_6",0.672489033333333,0.149023466666667,"ethanol",27.9,11.03,16.53,"Belgium","KNO",1932,-0.0107774347981301,0.0110788538521108,-0.0135573317964679,-2.81452451017781e-05,0.0115627036742006,143.198426999787
"10_7",0.747826733333333,0.0975765666666667,"ethanol",27.77,10.93,14.72,"Belgium","KNO",1932,0.0133646866183871,0.010007990379407,-0.0165655103147801,-0.00157372783072449,0.00252709705111351,126.36239634975
"12_1",0.4416957,0.133776366666667,"ethanol",27.34,11.2,16.63,"Belgium","DUI",1936,-0.0196283544666789,0.0197728256626245,-0.00972840388851295,-0.0232101253663107,-0.00883609516177236,146.285120321755
"12_10",1.15525126666667,0.0353267666666667,"ethanol",25.11,10.27,15.85,"Belgium","DUI",1936,-0.0239389498658436,0.00521537058139974,0.00659004147510623,-0.00933777602657514,-0.0158327644413063,127.846720338755
"12_2",0.741244933333333,0.0527482666666667,"ethanol",24.84,10.57,14.9,"Belgium","DUI",1936,-0.0186134015561689,-0.0162805099249776,0.00079289772289563,0.00789842773405843,0.00125099660610494,123.694712947954
"12_3",0.7958832,0.1468418,"ethanol",25.93,10.38,15.1,"Belgium","DUI",1936,-0.0105863446387778,0.00122766722853369,-0.00177450841839792,-0.00058712093699692,-0.0097371435530546,123.101737334589
"12_4",0.518245166666667,0.2082663,"ethanol",27.18,10.55,14.94,"Belgium","DUI",1936,0.0150255592050663,-0.00725814682113467,-0.019552386310408,0.0147621173814426,-0.00822180496375779,123.792102320216
"12_5",0.747241033333333,0.174658833333333,"ethanol",26.45,11.51,15.82,"Belgium","DUI",1936,-0.0130675693691263,0.00086514244542887,-0.00134287987053447,0.00170917364296519,0.00756809514645922,143.011737856347
"12_6",0.561040466666667,0.146823,"ethanol",27.53,11.04,16.31,"Belgium","DUI",1936,-0.0044550074139784,0.00242881957688386,-0.00039427842764877,-0.00631526825099662,0.00286448653088405,141.420678256937
"12_7",0.603202866666667,0.125422266666667,"ethanol",25.78,10.8,15.16,"Belgium","DUI",1936,-0.0176971960861903,0.00275222954926748,0.00579620464125422,-0.0117775652109509,0.00647117794353843,128.591670496737
"12_8",0.731428633333333,0.0641600666666667,"ethanol",26.81,11.07,15.69,"Belgium","DUI",1936,-0.00376094963385902,-0.00169499254756421,-0.0111717716676485,0.00762352696250149,0.0018149197324477,136.414471823625
