sample,position,aragonite_thickness_um,calcite_thickness_um,date
1_1,2,74.526,442.62,10.07.1888
1_1,2,76.052,435.77,10.07.1888
1_1,2,83.884,425.624,10.07.1888
1_1,2,77.504,426.27,10.07.1888
1_1,2,75.423,390.738,10.07.1888
1_1,2,77.494,395.341,10.07.1888
1_1,2,72.56,397.357,10.07.1888
1_1,2,79.349,453.437,10.07.1888
1_1,2,85.437,465.498,10.07.1888
1_1,2,84.375,515.791,10.07.1888
1_2,2,44.939,502.239,10.07.1888
1_2,2,44.091,536.52,10.07.1888
1_2,2,51.073,541.781,10.07.1888
1_2,2,47.443,589.805,10.07.1888
1_2,2,55.563,573.579,10.07.1888
1_2,2,48.607,587.495,10.07.1888
1_2,2,53.404,563.65,10.07.1888
1_2,2,52.49,612.381,10.07.1888
1_2,2,55.496,604.71,10.07.1888
1_2,2,52.778,564.744,10.07.1888
1_3,2,84.111,430.954,10.07.1888
1_3,2,83.049,446.303,10.07.1888
1_3,2,64.677,432.661,10.07.1888
1_3,2,55.389,454.192,10.07.1888
1_3,2,56.33,456.233,10.07.1888
1_3,2,60.077,457.78,10.07.1888
1_3,2,49.863,528.586,10.07.1888
1_3,2,43.63,562.174,10.07.1888
1_3,2,33.739,573.798,10.07.1888
1_3,2,30.583,596.46,10.07.1888
1_4,2,74.787,342.614,10.07.1888
1_4,2,55.518,377.212,10.07.1888
1_4,2,57.279,388.417,10.07.1888
1_4,2,39.184,419.09,10.07.1888
1_4,2,35.735,458.05,10.07.1888
1_4,2,33.049,447.136,10.07.1888
1_4,2,31.805,435.097,10.07.1888
1_4,2,32.929,286.57,10.07.1888
1_4,2,20.179,358.695,10.07.1888
1_4,2,29.013,412.841,10.07.1888
1_5,2,114.188,874.542,10.07.1888
1_5,2,109.386,939.419,10.07.1888
1_5,2,67.712,1005.957,10.07.1888
1_5,2,53.373,988.858,10.07.1888
1_5,2,48.843,988.734,10.07.1888
1_5,2,105.935,943.07,10.07.1888
1_5,2,170.116,884.656,10.07.1888
1_5,2,210.209,799.474,10.07.1888
1_5,2,253.56,718.87,10.07.1888
1_5,2,312.995,598.773,10.07.1888
1_6,2,34.569,499.108,10.07.1888
1_6,2,39.745,521.948,10.07.1888
1_6,2,40.641,539.289,10.07.1888
1_6,2,44.985,493.428,10.07.1888
1_6,2,53.018,464.647,10.07.1888
1_6,2,62.103,401.787,10.07.1888
1_6,2,67.684,426.831,10.07.1888
1_6,2,66.697,394.12,10.07.1888
1_6,2,55.892,358.196,10.07.1888
1_6,2,56.214,371.387,10.07.1888
2_1,2,159.086,655.425,28.07.1904
2_1,2,166.012,695.956,28.07.1904
2_1,2,169.431,722.553,28.07.1904
2_1,2,168.576,770.49,28.07.1904
2_1,2,182.103,735.156,28.07.1904
2_1,2,187.392,665.764,28.07.1904
2_1,2,156.513,580.917,28.07.1904
2_1,2,151.389,557.68,28.07.1904
2_1,2,133.497,625.479,28.07.1904
2_1,2,112.549,909.877,28.07.1904
2_2,2,102.021,889.436,28.07.1904
