sample,position,aragonite_thickness_um,calcite_thickness_um,date
1_1,2,70.422,448.519,10.07.1888
1_1,2,72.047,438.628,10.07.1888
1_1,2,89.588,416.857,10.07.1888
1_1,2,64.719,425.935,10.07.1888
1_1,2,79.52,396.99,10.07.1888
1_1,2,72.713,351.85,10.07.1888
1_1,2,72.705,361.533,10.07.1888
1_1,2,85.249,342.365,10.07.1888
1_1,2,89.319,364.89,10.07.1888
1_1,2,65.013,373.768,10.07.1888
1_2,2,44.301,536.091,10.07.1888
1_2,2,48.08,545.515,10.07.1888
1_2,2,49.645,579.609,10.07.1888
1_2,2,48.486,573.041,10.07.1888
1_2,2,56.301,570.79,10.07.1888
1_2,2,47.941,580.571,10.07.1888
1_2,2,50.103,596.989,10.07.1888
1_2,2,48.982,611.668,10.07.1888
1_2,2,55.966,568.905,10.07.1888
1_2,2,57.694,562.343,10.07.1888
1_3,2,82.193,436.469,10.07.1888
1_3,2,96.845,406.065,10.07.1888
1_3,2,59.259,388.894,10.07.1888
1_3,2,55.781,449.459,10.07.1888
1_3,2,58.85,475.941,10.07.1888
1_3,2,38.241,537.85,10.07.1888
1_3,2,56.434,546.909,10.07.1888
1_3,2,45.473,568.361,10.07.1888
1_3,2,40.096,562.116,10.07.1888
1_3,2,26.766,585.041,10.07.1888
1_4,2,73.185,337.863,10.07.1888
1_4,2,64.394,364.865,10.07.1888
1_4,2,57.463,392.664,10.07.1888
1_4,2,30.203,451.608,10.07.1888
1_4,2,31.64,426.603,10.07.1888
1_4,2,24.748,445.959,10.07.1888
1_4,2,39.557,377.677,10.07.1888
1_4,2,41.618,409.926,10.07.1888
1_4,2,44.345,453.004,10.07.1888
1_4,2,55.466,378.435,10.07.1888
1_5,2,102.259,875.793,10.07.1888
1_5,2,103.906,950.374,10.07.1888
1_5,2,81.291,968.215,10.07.1888
1_5,2,62.417,947.506,10.07.1888
1_5,2,144.91,875.58,10.07.1888
1_5,2,207.144,792.807,10.07.1888
1_5,2,270.943,659.944,10.07.1888
1_5,2,352.631,519.476,10.07.1888
1_5,2,53.342,981.656,10.07.1888
1_5,2,118.181,867.434,10.07.1888
1_6,2,32.577,492.866,10.07.1888
1_6,2,32.495,515.565,10.07.1888
1_6,2,46.705,500.824,10.07.1888
1_6,2,52.422,462.434,10.07.1888
1_6,2,62.06,406.392,10.07.1888
1_6,2,69.756,425.625,10.07.1888
1_6,2,66.238,388.199,10.07.1888
1_6,2,58.044,361.502,10.07.1888
1_6,2,58.301,362.014,10.07.1888
1_6,2,45.517,388.25,10.07.1888
2_1,2,158.337,649.512,28.07.1904
2_1,2,169.634,702.635,28.07.1904
2_1,2,169.792,750.038,28.07.1904
2_1,2,175.172,730.388,28.07.1904
2_1,2,183.882,665.549,28.07.1904
2_1,2,175.67,605.739,28.07.1904
2_1,2,161.66,546.748,28.07.1904
2_1,2,147.154,559.36,28.07.1904
2_1,2,115.148,822.801,28.07.1904
2_1,2,98.859,952.256,28.07.1904
2_2,2,99.45,885.114,28.07.1904
2_2,2,97.616,876.718,28.07.1904
2_2,2,99.432,884.732,28.07.1904
2_2,2,85.446,898.469,28.07.1904
2_2,2,78.631,938.942,28.07.1904
2_2,2,77.687,913.525,28.07.1904
2_2,2,75.689,861.526,28.07.1904
2_2,2,72.272,816.677,28.07.1904
2_2,2,74.338,865.41,28.07.1904
2_2,2,66.685,903.457,28.07.1904
2_3,2,48.356,1090.938,28.07.1904
2_3,2,53.192,1048.304,28.07.1904
2_3,2,41.761,1107.232,28.07.1904
2_3,2,43.094,1068.806,28.07.1904
2_3,2,40.386,1018.462,28.07.1904
2_3,2,45.625,1167.503,28.07.1904
2_3,2,43.492,1173.836,28.07.1904
2_3,2,43.099,1112.668,28.07.1904
2_3,2,47.453,1117.631,28.07.1904
2_3,2,47.162,1112.652,28.07.1904
2_4,2,67.813,581.735,28.07.1904
2_4,2,69.99,639.942,28.07.1904
2_4,2,69.842,669.956,28.07.1904
2_4,2,73.187,624.846,28.07.1904
2_4,2,68.563,624.487,28.07.1904
2_4,2,62.836,664.11,28.07.1904
2_4,2,69.148,654.55,28.07.1904
2_4,2,87.033,635.336,28.07.1904
2_4,2,73.577,795.744,28.07.1904
2_4,2,68.22,867.106,28.07.1904
2_5,2,290.194,417.152,28.07.1904
2_5,2,262.084,486.706,28.07.1904
2_5,2,226.183,517.997,28.07.1904
2_5,2,211.735,542.175,28.07.1904
2_5,2,197.885,535.243,28.07.1904
2_5,2,168.187,585.438,28.07.1904
2_5,2,154.304,571.857,28.07.1904
2_5,2,187.904,534.804,28.07.1904
2_5,2,179.41,510.037,28.07.1904
2_5,2,172.229,387.371,28.07.1904
2_6,2,63.264,1255.413,28.07.1904
2_6,2,59.045,1257.131,28.07.1904
2_6,2,62.448,1291.25,28.07.1904
2_6,2,67.643,1287.462,28.07.1904
2_6,2,70.195,1202.368,28.07.1904
2_6,2,87.037,1139.249,28.07.1904
2_6,2,75.203,1108.897,28.07.1904
2_6,2,73.251,1100.371,28.07.1904
2_6,2,71.626,1179.837,28.07.1904
2_6,2,70.184,1166.491,28.07.1904
2_7,2,173.839,707.205,28.07.1904
2_7,2,185.99,758.956,28.07.1904
2_7,2,181.073,790.922,28.07.1904
2_7,2,173.176,737.461,28.07.1904
2_7,2,175.85,703.713,28.07.1904
2_7,2,177.063,664.892,28.07.1904
2_7,2,193.269,600.3,28.07.1904
2_7,2,216.059,479.292,28.07.1904
2_7,2,229.882,456.06,28.07.1904
2_7,2,224.202,470.539,28.07.1904
2_8,2,78.678,767.346,28.07.1904
2_8,2,84.683,818.594,28.07.1904
2_8,2,90.903,824.875,28.07.1904
2_8,2,89.733,791.37,28.07.1904
2_8,2,69.633,787.62,28.07.1904
2_8,2,56.236,800.405,28.07.1904
2_8,2,62.501,697.828,28.07.1904
2_8,2,48.823,653.88,28.07.1904
2_8,2,38.088,641.808,28.07.1904
2_8,2,37.757,658.038,28.07.1904
2_9,2,104.886,549.64,28.07.1904
2_9,2,100.379,513.539,28.07.1904
2_9,2,87.533,569.534,28.07.1904
2_9,2,89.613,524.03,28.07.1904
2_9,2,75.042,491.654,28.07.1904
2_9,2,79.498,513.122,28.07.1904
2_9,2,94.932,554.445,28.07.1904
2_9,2,89.736,549.799,28.07.1904
2_9,2,106.546,476.065,28.07.1904
2_9,2,90.277,520.383,28.07.1904
2_10,2,51.25,859.658,28.07.1904
2_10,2,51.247,783.457,28.07.1904
2_10,2,54.962,735.77,28.07.1904
2_10,2,40.263,711.453,28.07.1904
2_10,2,44.538,639.491,28.07.1904
2_10,2,50.859,681.156,28.07.1904
2_10,2,82.468,736.185,28.07.1904
2_10,2,91.381,699.656,28.07.1904
2_10,2,102.162,732.76,28.07.1904
2_10,2,99.518,711.764,28.07.1904
3_1,2,135.505,825.267,26.05.1911
3_1,2,125.446,900.549,26.05.1911
3_1,2,116.61,892.31,26.05.1911
3_1,2,118.224,910.355,26.05.1911
3_1,2,112.78,965.621,26.05.1911
3_1,2,108.809,992.561,26.05.1911
3_1,2,104.564,1044.608,26.05.1911
3_1,2,93.271,1057.935,26.05.1911
3_1,2,108.358,1130.725,26.05.1911
3_1,2,88.791,1170.907,26.05.1911
3_10,2,149.381,994.504,26.05.1911
3_10,2,153.24,979.374,26.05.1911
3_10,2,135.509,965.877,26.05.1911
3_10,2,146.02,984.063,26.05.1911
3_10,2,166.554,911.698,26.05.1911
3_10,2,149.529,864.713,26.05.1911
3_10,2,130.603,1038.698,26.05.1911
3_10,2,132.615,1133.604,26.05.1911
3_10,2,120.298,1123.976,26.05.1911
3_10,2,116.022,1131.669,26.05.1911
3_2,2,81.041,1721.967,26.05.1911
3_2,2,85.079,1739.292,26.05.1911
3_2,2,89.963,1750.242,26.05.1911
3_2,2,90.756,1780.212,26.05.1911
3_2,2,100.686,1806.244,26.05.1911
3_2,2,80.66,1776.038,26.05.1911
3_2,2,97.703,1648.338,26.05.1911
3_2,2,89.529,1646.81,26.05.1911
3_2,2,102.021,1720.675,26.05.1911
3_2,2,77.66,1686.683,26.05.1911
3_3,2,116.261,783.304,26.05.1911
3_3,2,132.411,775.876,26.05.1911
3_3,2,133.556,745.342,26.05.1911
3_3,2,127.459,696.548,26.05.1911
3_3,2,134.697,695.667,26.05.1911
3_3,2,134.518,731.983,26.05.1911
3_3,2,126.154,726.36,26.05.1911
3_3,2,119.109,724.476,26.05.1911
3_3,2,110.06,753.794,26.05.1911
3_3,2,113.276,775.128,26.05.1911
3_4,2,172.433,1147.755,26.05.1911
3_4,2,175.519,1122.59,26.05.1911
3_4,2,194.87,1038.058,26.05.1911
3_4,2,189.651,1097.601,26.05.1911
3_4,2,189.935,1107.928,26.05.1911
3_4,2,193.935,1050.51,26.05.1911
3_4,2,197.767,1023.385,26.05.1911
3_4,2,189.878,966.563,26.05.1911
3_4,2,193.769,1103.559,26.05.1911
3_4,2,187.633,1110.276,26.05.1911
3_5,2,190.702,1005.188,26.05.1911
3_5,2,197.217,1102.153,26.05.1911
3_5,2,191.305,1085.236,26.05.1911
3_5,2,202.596,1085.436,26.05.1911
3_5,2,204.36,1138.534,26.05.1911
3_5,2,240.302,1128.397,26.05.1911
3_5,2,247.66,1114.471,26.05.1911
3_5,2,239.453,1177.694,26.05.1911
3_5,2,228.193,1209.78,26.05.1911
3_5,2,215.753,1249.74,26.05.1911
3_6,2,39.484,1649.374,26.05.1911
3_6,2,37.112,1702.885,26.05.1911
3_6,2,37.958,1735.831,26.05.1911
3_6,2,37.493,1809.936,26.05.1911
3_6,2,34.675,1831.531,26.05.1911
3_6,2,33.965,1849.211,26.05.1911
3_6,2,30.193,1932.338,26.05.1911
3_6,2,35.771,2009.394,26.05.1911
3_6,2,33.391,2078.633,26.05.1911
3_6,2,33.703,2000.826,26.05.1911
3_7,2,127.604,598.233,26.05.1911
3_7,2,140.909,607.434,26.05.1911
3_7,2,144.581,583.233,26.05.1911
3_7,2,134.15,610.972,26.05.1911
3_7,2,133.073,596.733,26.05.1911
3_7,2,128.61,640.646,26.05.1911
3_7,2,134.114,631.453,26.05.1911
3_7,2,131.34,653.067,26.05.1911
3_7,2,130.179,717.06,26.05.1911
3_7,2,122.312,862.905,26.05.1911
3_8,2,82.189,1232.77,26.05.1911
3_8,2,79.323,1240.509,26.05.1911
3_8,2,81.507,1311.169,26.05.1911
3_8,2,78.829,1298.357,26.05.1911
3_8,2,80.012,1243.019,26.05.1911
3_8,2,72.222,1312.544,26.05.1911
3_8,2,81.1,1338.143,26.05.1911
