"year","days","numO","calc_threshold"
1933,156,3141,12
1934,152,3229,12
1935,140,3564,12
1936,142,3818,12
1937,166,3634,12
1938,162,3499,12
1939,155,2182,12
1946,149,706,12
1947,155,486,12
1948,159,390,12
1949,164,406,12
1950,149,477,12
1951,155,629,12
1952,145,873,12
1953,162,624,12
1954,164,910,12
1955,138,905,12
1956,138,774,12
1957,165,734,12
1958,157,754,12
1959,177,647,12
1960,167,810,12
1961,167,2190,12
1962,138,1727,12
1963,147,1398,12
1964,150,1678,12
1965,143,1980,12
1966,157,2306,12
1967,155,2681,12
1968,160,3012,12
1969,161,2937,12
1970,158,1941,12
1971,160,3044,12
1972,152,3805,12
1973,153,3783,12
1974,147,2725,12
1975,157,1742,12
1976,163,2125,12
1977,160,3455,12
1978,156,3057,12
1979,158,4226,12
1980,140,6358,12
1981,139,5978,12
1982,159,5444,12
1983,153,3723,12
1984,131,3604,12
1985,136,4399,12
1986,149,3892,12
1987,148,3321,12
1988,150,4088,12
1989,162,8260,12
1990,166,5819,12
1991,136,5078,12
1992,152,9479,12
1993,149,9833,12
1994,159,6430,12
1995,165,9165,12
1996,140,7343,12
1997,163,5289,12
1998,164,5232,12
1999,162,4696,12
2000,158,4183,12
2001,166,3666,12
2002,174,4555,12
2003,165,4278,12
2004,167,3937,12
2005,169,4013,12
2006,181,3460,12
2007,184,2916,12
2008,179,1939,12
2009,193,2745,12
2010,154,2516,12
2011,197,2223,12
2012,166,2974,12
2013,151,2686,12
2014,207,2247,12
2015,173,1988,12
2016,207,1748,12
2017,191,1955,12
2018,211,2185,12
2019,192,4692,12
1882,140,107,13
1884,124,101,13
1885,102,105,13
1887,104,106,13
1888,110,144,13
1889,130,230,13
1890,113,237,13
1891,125,229,13
1892,103,126,13
1894,93,276,13
1895,104,202,13
1903,122,922,13
1904,125,2249,13
1905,120,2684,13
1906,129,3034,13
1907,128,3537,13
1908,130,3680,13
1909,118,4357,13
1910,132,4854,13
1911,134,6860,13
1912,117,6902,13
1913,151,6979,13
1914,138,4117,13
1915,137,2191,13
1916,131,3376,13
1917,113,2950,13
1918,104,4014,13
1919,115,4259,13
1920,142,2526,13
1921,154,2595,13
1922,126,3083,13
1923,110,3343,13
1924,132,3384,13
1925,142,3217,13
1926,129,3198,13
1927,129,3351,13
1928,131,3471,13
1929,126,3315,13
1930,142,3189,13
1931,136,2961,13
1932,130,2686,13
1933,143,3141,13
1934,141,3229,13
1935,123,3564,13
1936,125,3818,13
1937,152,3634,13
1938,141,3499,13
1939,147,2182,13
1946,128,706,13
1947,145,486,13
1948,137,390,13
1949,143,406,13
1950,124,477,13
1951,126,629,13
1952,120,873,13
1953,138,624,13
1954,133,910,13
1955,113,905,13
1956,107,774,13
1957,142,734,13
1958,133,754,13
1959,155,647,13
1960,142,810,13
1961,145,2190,13
1962,111,1727,13
1963,116,1398,13
1964,128,1678,13
1965,121,1980,13
1966,138,2306,13
1967,132,2681,13
1968,139,3012,13
1969,145,2937,13
1970,134,1941,13
1971,137,3044,13
1972,123,3805,13
1973,136,3783,13
1974,124,2725,13
1975,133,1742,13
1976,145,2125,13
1977,135,3455,13
1978,128,3057,13
1979,135,4226,13
1980,119,6358,13
1981,116,5978,13
1982,139,5444,13
1983,132,3723,13
1984,103,3604,13
1985,114,4399,13
1986,125,3892,13
1987,122,3321,13
1988,130,4088,13
1989,142,8260,13
1990,139,5819,13
1991,117,5078,13
1992,138,9479,13
1993,130,9833,13
1994,132,6430,13
1995,140,9165,13
1996,121,7343,13
1997,137,5289,13
1998,145,5232,13
1999,140,4696,13
2000,135,4183,13
2001,145,3666,13
2002,152,4555,13
2003,147,4278,13
2004,144,3937,13
2005,151,4013,13
2006,159,3460,13
2007,159,2916,13
2008,158,1939,13
2009,169,2745,13
2010,134,2516,13
2011,177,2223,13
2012,142,2974,13
2013,131,2686,13
2014,187,2247,13
2015,143,1988,13
2016,186,1748,13
2017,174,1955,13
2018,180,2185,13
2019,169,4692,13
1882,106,107,14
1884,102,101,14
1885,90,105,14
