"wind_speed","year","month"
4.59,1912,5
4.94,1912,6
4.34,1912,7
7.87,1912,8
7.63,1912,9
6.67,1912,10
8.41,1912,11
9.42,1912,12
8.14,1913,1
6.99,1913,2
8.35,1913,3
7.67,1913,4
4.48,1913,5
5.29,1913,6
5.47,1913,7
4.45,1913,8
4.97,1913,9
6.14,1913,10
9.7,1913,11
9.81,1913,12
8.47,1914,1
6.69,1914,2
7.75,1914,3
4.99,1914,4
6.16,1914,5
4.2,1914,6
4.12,1914,7
4.3,1914,8
6.54,1914,9
5.22,1914,10
6.31,1914,11
8.22,1914,12
6.67,1915,1
6.51,1915,2
4.29,1915,3
5.21,1915,4
4.9,1915,5
4.18,1915,6
5.16,1915,7
3.86,1915,8
4.26,1915,9
4.02,1915,10
7.54,1915,11
6.23,1915,12
8.2,1916,1
6.85,1916,2
5.64,1916,3
4.86,1916,4
4.25,1916,5
5.89,1916,6
4.1,1916,7
5.67,1916,8
6.14,1916,9
9.86,1916,10
8.56,1916,11
7.39,1916,12
7.82,1917,1
4.27,1917,2
6.63,1917,3
6.38,1917,4
4.21,1917,5
4.18,1917,6
5.62,1917,7
8.16,1917,8
6.31,1917,9
10.21,1917,10
8.25,1917,11
9.04,1917,12
7.86,1918,1
6.48,1918,2
5.41,1918,3
5.57,1918,4
3.72,1918,5
4.85,1918,6
4.76,1918,7
4.36,1918,8
8.21,1918,9
6.47,1918,10
5.64,1918,11
7.03,1918,12
7.72,1919,1
4.5,1919,2
6.89,1919,3
4.96,1919,4
3.55,1919,5
5.21,1919,6
4.79,1919,7
5.06,1919,8
5.34,1919,9
6.17,1919,10
8.09,1919,11
8.32,1919,12
7.56,1920,1
5.61,1920,2
4.52,1920,3
5.35,1920,4
4.62,1920,5
4.21,1920,6
5.43,1920,7
6.26,1920,8
4.76,1920,9
5.3,1920,10
6.64,1920,11
6.35,1920,12
6.74,1921,1
4.15,1921,2
4.79,1921,3
4.86,1921,4
3.94,1921,5
5.16,1921,6
4.16,1921,7
5.19,1921,8
4.18,1921,9
5.26,1921,10
