"air_temperature_celsius","year","month"
6.74,2019,2
6.74,2019,2
6.74,2019,2
6.74,2019,2
6.74,2019,2
6.74,2019,2
6.74,2019,2
7.08,2019,3
8.54,2019,4
10.2,2019,5
14.33,2019,6
16.69,2019,7
18.05,2019,8
15.72,2019,9
12.88,2019,10
9.24,2019,11
8.05,2019,12
